City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,khorixas,-20.3667,14.9667,290.53,42,2,0.42,,1678238010
281,najran,17.4924,44.1277,291.14,30,100,1.19,SA,1678238010
282,mujiayingzi,42.1167,118.7833,274.58,38,0,1.21,CN,1678238011
283,hovd,48.0056,91.6419,274.79,24,100,4.28,MN,1678238011
284,marstal,54.8562,10.5173,272.1,53,6,4.76,DK,1678238012
285,donskoye,45.4552,41.9741,279.05,69,100,4.43,RU,1678238012
286,toppenish,46.3774,-120.3087,282.15,57,72,3.5,US,1678238013
287,ketchikan,55.3422,-131.6461,273.14,49,100,1.91,US,1678238013
288,marzuq,14.4,46.4667,289.26,35,3,2.82,YE,1678238014
289,pevek,69.7008,170.3133,243.28,92,9,0.41,RU,1678238014
290,san cristobal,7.7669,-72.225,296.25,78,100,0.09,VE,1678238014
291,ephrata,40.1798,-76.1788,277.97,69,70,9.0,US,1678237736
292,zhigansk,66.7697,123.3711,242.27,100,100,3.98,RU,1678238015
293,portoferraio,42.8115,10.3146,286.8,74,65,3.07,IT,1678238015
294,shieli,44.1667,66.75,279.81,85,100,5.33,KZ,1678238016
295,karabulak,43.3036,44.8964,270.7,67,96,0.9,RU,1678238016
296,lakatoro,-16.0999,167.4164,301.38,76,86,2.31,VU,1678238017
297,harper,4.375,-7.7169,299.79,85,97,3.56,LR,1678238017
298,gazanjyk,39.2446,55.5154,282.33,82,12,2.6,TM,1678238017
299,fort nelson,58.8053,-122.7002,259.79,72,100,1.34,CA,1678238018
300,oktyabrskoye,43.0645,44.7417,269.23,93,100,3.0,RU,1678238018
301,rosarito,32.3333,-117.0333,287.73,60,0,6.39,MX,1678238019
302,guanambi,-14.2233,-42.7814,300.48,49,97,6.57,BR,1678237798
303,goure,13.9835,10.2704,299.52,11,39,2.64,NE,1678238019
304,rokytne,51.2796,27.214,274.61,79,100,5.09,UA,1678238020
305,caluquembe,-13.7833,14.6833,291.0,78,100,1.46,AO,1678238020
306,iquique,-20.2208,-70.1431,297.17,73,4,0.67,CL,1678237940
307,east london,-33.0153,27.9116,295.1,90,91,6.39,ZA,1678238021
308,cayenne,4.9333,-52.3333,299.17,83,75,1.54,GF,1678238022
309,maragogi,-9.0122,-35.2225,299.37,80,100,4.08,BR,1678237957
310,ostrovnoy,68.0531,39.5131,254.98,97,97,2.65,RU,1678238022
311,bengkulu,-3.8004,102.2655,298.64,80,10,1.42,ID,1678238023
312,bathsheba,13.2167,-59.5167,299.49,73,40,5.66,BB,1678238023
313,halifax,44.6453,-63.5724,273.83,83,100,7.15,CA,1678237743
314,ayia marina,37.75,23.5333,286.11,76,2,2.12,GR,1678238024
315,price,39.5994,-110.8107,276.74,38,0,1.54,US,1678238024
316,port blair,11.6667,92.75,299.84,69,2,4.79,IN,1678238025
317,pangai,-19.8,-174.35,299.94,62,48,6.5,TO,1678238025
318,bonthe,7.5264,-12.505,298.29,80,100,0.69,SL,1678238026
319,deputatskiy,69.3,139.9,243.84,100,82,0.79,RU,1678238026
320,faanui,-16.4833,-151.75,301.49,69,88,4.97,PF,1678238026
321,saquena,-4.6667,-73.5167,296.71,91,100,0.94,PE,1678238027
322,sola,-13.8833,167.55,300.86,71,97,1.93,VU,1678238027
323,amapa,1.0,-52.0,295.02,99,100,1.02,BR,1678237795
324,wiwili,13.6268,-85.8254,294.5,75,17,1.73,NI,1678238028
325,petauke,-14.2426,31.3253,290.72,97,100,2.4,ZM,1678238029
326,tongliao,43.6125,122.2653,273.87,50,0,2.78,CN,1678238029
327,nuuk,64.1835,-51.7216,267.49,90,17,4.11,GL,1678238029
328,raga,8.4596,25.678,300.5,40,52,1.11,SS,1678238030
329,teguise,29.0605,-13.564,289.27,77,20,2.06,ES,1678238030
330,shenjiamen,29.9576,122.298,286.24,82,43,7.07,CN,1678238031
331,clyde river,70.4692,-68.5914,255.7,96,99,3.2,CA,1678238031
